Keys,US English,Canada English,AU English,UK English,Canada French,Spain Spanish,US Spanish,Latin America Spanish,Argentina Spanish,Colombia Spanish,Mexico Spanish,German,Japanese,Korean,France French,Brazil Portuguese,Netherlands Dutch,Italy Italian
notification3_default,Your third test of the day is now available. Please complete this test by {TIME}.,Your third test of the day is now available. Please complete this test by {TIME}.,Your third test of the day is now available. Please complete this test by {TIME}.,Your third test of the day is now available. Please complete this test by {TIME}.,Votre troisième test de la journée est maintenant disponible. Veuillez effectuer ce test d'ici {TIME}.,La tercera prueba del día ya está disponible. Complete esta prueba antes de la(s) {TIME}.,Ya está disponible la tercera prueba del día. Complete esta prueba antes de la/s {TIME}.,Ya está disponible la tercera prueba del día. Complete esta prueba antes de la/s {TIME}.,Ya está disponible la tercera prueba del día. Complete esta prueba antes de la/s {TIME}.,Ya está disponible la tercera prueba del día. Complete esta prueba antes de la/s {TIME}.,Ya está disponible la tercera prueba del día. Complete esta prueba antes de la/s {TIME}.,Ihr dritter Test des Tages ist jetzt verfügbar. Bitte schließen Sie diesen Test bis {TIME} ab.,今日3つ目のテストが使用可能になりました。{TIME}までにこのテストを完了してください。,이제 오늘의 세 번째 검사를 이용할 수 있습니다. {TIME}까지 이 검사를 완료하시기 바랍니다.,Votre troisième test de la journée est maintenant disponible. Veuillez terminer ce test avant {TIME}.,Seu terceiro teste do dia já está disponível. Conclua este teste até {TIME}.,Uw derde test van de dag is nu beschikbaar. Voltooi deze test vóór {TIME}.,Il Suo terzo test della giornata è ora disponibile. Completi questo testo entro le {TIME}.
notification3_variation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
notification4_default,The last test of the day is here! Finish strong by completing this test by {TIME}.,The last test of the day is here! Finish strong by completing this test by {TIME}.,The last test of the day is here! Finish strong by completing this test by {TIME}.,The last test of the day is here! Finish strong by completing this test by {TIME}.,Le dernier test de la journée est là! Terminez en force en effectuant ce test d'ici {TIME}.,¡Ya esta aquí la última prueba del día! Termine a tope completando esta prueba antes de la(s) {TIME}.,Ya ha llegado la última prueba del día. Termine en buen estado y complete esta prueba antes de la/s {TIME}.,Ya ha llegado la última prueba del día. Termine en buen estado y complete esta prueba antes de la/s {TIME}.,Ya ha llegado la última prueba del día. Termine en buen estado y complete esta prueba antes de la/s {TIME}.,Ya ha llegado la última prueba del día. Termine en buen estado y complete esta prueba antes de la/s {TIME}.,Ya ha llegado la última prueba del día. Termine en buen estado y complete esta prueba antes de la/s {TIME}.,Der letzte Test des Tages ist da! Legen Sie einen Endspurt hin und schließen Sie diesen Test bis {TIME} ab.,今日最後のテストの時間になりました。ラストスパートです。{TIME}までにこのテストを完了しましょう。,오늘의 마지막 검사입니다! 마지막으로 {TIME}까지 힘내서 이 검사를 완료하세요.,Voici le dernier test de la journée ! Terminez en beauté en terminant ce test avant {TIME}.,"O último teste do dia está aqui! Termine bem, concluindo este teste até {TIME}.",Dit is de laatste test van de dag! Eindig sterk door deze test vóór {TIME} te voltooien.,Ecco l’ultimo test della giornata! Concluda bene completando questo test entro le {TIME}.
Inv_notification4_lastday,It's time to take your last test of the week! Please finish strong by {TIME}. Great work! ,It's time to take your last test of the week! Please finish strong by {TIME}. Great work! ,It's time to take your last test of the week! Please finish strong by {TIME}. Great work! ,It's time to take your last test of the week! Please finish strong by {TIME}. Great work! ,C’est le temps de faire votre dernier test de la semaine! Veuillez terminer en beauté avant {HEURE}. Excellent travail! ,¡Es hora de hacer la última prueba de la semana! Termine con energía antes de las {TIME}. ¡Excelente trabajo! ,Es momento de hacer la última prueba de la semana. Debe terminar antes de las {HORA}. ¡Excelente! ,Es momento de hacer la última prueba de la semana. Debe terminar antes de las {HORA}. ¡Excelente! ,Es momento de hacer la última prueba de la semana. Debe terminar antes de las {HORA}. ¡Excelente! ,Es momento de hacer la última prueba de la semana. Debe terminar antes de las {HORA}. ¡Excelente!,¡Es momento de hacer la última prueba de la semana! Haga su mejor esfuerzo antes de las {TIME}. ¡Gracias por su dedicación! ,"Es ist Zeit, dass Sie Ihren letzten Test für die Woche durchführen! Endspurt! Sie haben noch Zeit bis {TIME}. Gut gemacht! ",週の最後のテストを受ける時間になりました！{TIME}までに終了してください。ありがとうございました。,이번 주간의 마지막 검사 시간입니다! {TIME}까지 힘내서 완료하시기 바랍니다. 수고하셨습니다!,C’est le moment de passer votre dernier test de la semaine ! Finissez en beauté avant {TIME}. Bon travail ! ,É hora de fazer seu último teste da semana! Termine bem até às {TIME}. Ótimo trabalho! ,Het is tijd om uw laatste test van de week te doen! Eindig sterk vóór {TIME}. Goed werk! ,È il momento di fare l’ultimo test della settimana! Concluda bene entro le {TIME}. Ottimo lavoro! 
HASD_DIAN_notification4_lastday,It's time to take your last test of the week! Please finish it by {TIME}. Your coordinator will contact you about your earnings shortly.,It's time to take your last test of the week! Please finish it by {TIME}. Your coordinator will contact you about your earnings shortly.,It's time to take your last test of the week! Please finish it by {TIME}. Your coordinator will contact you about your earnings shortly.,It's time to take your last test of the week! Please finish it by {TIME}. Your coordinator will contact you about your earnings shortly.,C'est le temps d'effectuer votre dernier test de la semaine! Veuillez le terminer d'ici {TIME}. Votre coordonnateur(trice) vous contactera au sujet de votre indemnité financière sous peu.,¡Es hora de realizar la última prueba de la semana! Complétela antes de la(s) {TIME}. Su coordinador se pondrá en contacto con usted en breve para hablar de sus ganancias.,Ha llegado la hora de hacer la última prueba de la semana. Termine por favor antes de la/s {TIME}. Su coordinador se comunicará con usted a la brevedad acerca de sus ganancias.,Ha llegado la hora de hacer la última prueba de la semana. Termine por favor antes de la/s {TIME}. Su coordinador se comunicará con usted a la brevedad acerca de sus ganancias.,Ha llegado la hora de hacer la última prueba de la semana. Termine por favor antes de la/s {TIME}. Su coordinador se comunicará con usted a la brevedad acerca de sus ganancias.,Ha llegado la hora de hacer la última prueba de la semana. Termine por favor antes de la/s {TIME}. Su coordinador se comunicará con usted a la brevedad acerca de sus ganancias.,Ha llegado la hora de hacer la última prueba de la semana. Termine por favor antes de la/s {TIME}. Su coordinador se comunicará con usted a la brevedad acerca de sus ganancias.,Es ist Zeit für den letzten Test der Woche! Bitte schließen Sie ihn bis {TIME} ab. Ihr Koordinator wird sich in Kürze mit Ihnen bezüglich Ihres Verdienstes in Verbindung setzen.,今週最後のテストの時間になりました。{TIME}までに完了してください。あなたがここで獲得した収入についてはコーディネーターから追って連絡します。,이번 주의 마지막 검사를 할 시간입니다! {TIME}까지 끝내십시오. 코디네이터가 곧 수입에 대해 연락을 드릴 것입니다.,,,,
notification_missedtests,"You've missed your tests. If you're unable 
to finish this week, please contact your study coordinator.","You've missed your tests. If you're unable 
to finish this week, please contact your study coordinator.","You've missed your tests. If you're unable 
to finish this week, please contact your study coordinator.","You've missed your tests. If you're unable 
to finish this week, please contact your study coordinator.","Vous avez manqué vos tests. Si vous n’êtes pas en mesure de terminer les tests de cette semaine, veuillez communiquer avec votre coordonnateur de l’étude.","Se ha saltado las pruebas.
Si no puede terminar esta semana, contacte con el coordinador de su estudio.","No pudo completar sus pruebas. Si no puede terminar esta semana, por favor póngase en contacto con el coordinador del estudio.","No pudo completar sus pruebas. Si no puede terminar esta semana, por favor póngase en contacto con el coordinador del estudio.","No pudo completar sus pruebas. Si no puede terminar esta semana, por favor póngase en contacto con el coordinador del estudio.","No pudo completar sus pruebas. Si no puede terminar esta semana, por favor póngase en contacto con el coordinador del estudio.","No pudo completar sus pruebas. Si no puede terminar esta semana, por favor póngase en contacto con el coordinador del estudio.","Sie haben Ihre Tests verpasst. Wenn Sie die Tests in dieser Woche nicht abschließen können, setzen Sie sich bitte mit Ihrem Studienkoordinator in Verbindung.","
テストが未記入です。今週中にテストを終了できない場合、治験コーディネーターに連絡を取ってください。","검사를 누락했습니다. 이번 주간을 
완료하실 수 없는 경우, 연구 코디네이터에게 연락하시기 바랍니다.","Vous avez manqué vos tests. Si vous êtes incapable 
de finir cette semaine, contactez le coordinateur de l’étude.","Você perdeu seus testes. Se você não conseguir 
terminar esta semana, entre em contato com o coordenador do estudo.","U heeft uw tests overgeslagen. Als u niet in staat bent 
ze deze week te voltooien, neem dan contact op met uw onderzoekscoördinator.","Ha saltato i Suoi test. Se non è in grado 
di concludere questa settimana, contatti il Suo coordinatore dello studio."
notification_testproctor_header,Test Scheduler Service Running,Test Scheduler Service Running,Test Scheduler Service Running,Test Scheduler Service Running,Service de planificateur de tests activé,Servicio de programación de pruebas en ejecución,El servicio de programación de pruebas está en marcha,El servicio de programación de pruebas está en marcha,El servicio de programación de pruebas está en marcha,El servicio de programación de pruebas está en marcha,El servicio de programación de pruebas está en marcha,Testplaner-Service läuft,テストスケジューラサービスの実行中,검사 스케줄러 서비스 실행 중,Le service Test Scheduler (Programmateur de tests) est activé,Seviço em execução do agendador de testes,De Testplanner-service is actief,Servizio del programma del test in esecuzione
notification_testproctor_body,This ensures that you're notified of tests at the correct time.,This ensures that you're notified of tests at the correct time.,This ensures that you're notified of tests at the correct time.,This ensures that you're notified of tests at the correct time.,Cela permet d'assurer que vous êtes avisé(e) de la disponibilité des tests au bon moment.,Garantiza que se le notifiquen las pruebas en el momento correcto.,Eso asegura que se le avise de las pruebas a la hora correcta.,Eso asegura que se le avise de las pruebas a la hora correcta.,Eso asegura que se le avise de las pruebas a la hora correcta.,Eso asegura que se le avise de las pruebas a la hora correcta.,Eso asegura que se le avise de las pruebas a la hora correcta.,"So wird sichergestellt, dass Sie zum richtigen Zeitpunkt über Tests informiert werden.",この機能によって、正しい時間にテストの通知が届きます。,이를 통해 정확한 시간에 검사에 대한 알림을 받을 수 있습니다.,Vous êtes ainsi assuré(e) d’être informé(e) des tests au bon moment.,Isso garante que você seja notificado sobre os testes no momento correto.,Dit zorgt ervoor dat u op het juiste moment melding krijg van tests.,Ciò garantisce che sia informato/a dei test al momento giusto.
dateshift_picker,What week are you able to test?,What week are you able to test?,What week are you able to test?,What week are you able to test?,Quelle semaine êtes-vous en mesure d’effectuer les tests?,¿Qué semana puede hacer las pruebas?,¿En qué semana estará disponible para la prueba?,¿En qué semana estará disponible para la prueba?,¿En qué semana estará disponible para la prueba?,¿En qué semana estará disponible para la prueba?,¿En qué semana estará disponible para la prueba?,In welcher Woche können Sie Tests durchführen?,第何週にテストを受けられますか？,어떤 주에 검사할 수 있으신가요?,Quelle semaine pouvez-vous passer les tests ?,Em que semana você pode testar?,In welke week bent u beschikbaar voor tests?,In quale settimana può fare il test?
dateshift_confirmation,Great! Your next testing cycle will be <b>{DATE1}</b> through <b>{DATE2}</b>.,Great! Your next testing cycle will be <b>{DATE1}</b> through <b>{DATE2}</b>.,Great! Your next testing cycle will be <b>{DATE1}</b> through <b>{DATE2}</b>.,Great! Your next testing cycle will be <b>{DATE1}</b> through <b>{DATE2}</b>.,Parfait! Votre prochain cycle de tests aura lieu du <b>{DATE1}</b> au <b>{DATE2}</b>.,¡Fantástico! Su próximo ciclo de pruebas será del <b>{DATE1}</b> al <b>{DATE2}</b>.,¡Bien! Su siguiente ciclo de prueba será desde el <b>{DATE1}</b> hasta el <b>{DATE2}</b>.,¡Bien! Su siguiente ciclo de prueba será desde el <b>{DATE1}</b> hasta el <b>{DATE2}</b>.,¡Bien! Su siguiente ciclo de prueba será desde el <b>{DATE1}</b> hasta el <b>{DATE2}</b>.,¡Bien! Su siguiente ciclo de prueba será desde el <b>{DATE1}</b> hasta el <b>{DATE2}</b>.,¡Bien! Su siguiente ciclo de prueba será desde el <b>{DATE1}</b> hasta el <b>{DATE2}</b>.,Großartig! Ihr nächster Testzyklus dauert vom <b>{DATE1}</b> bis <b>{DATE2}</b>.,それでは、あなたの次のテストサイクルは<b>{DATE1}</b>から<b>{DATE2}</b>までとなります。,좋습니다! 귀하의 다음 검사 주기는 <b>{DATE1}</b> - <b>{DATE2}</b>입니다.,Excellent ! Votre prochain cycle de test sera du <b>{DATE1}</b> jusqu’au <b>{DATE2}</b>.,Excelente! Seu próximo ciclo de testes será da <b>{DATE1}</b> até <b>{DATE2}</b>.,Geweldig! Uw volgende testcyclus loopt van <b>{DATE1}</b> tot en met <b>{DATE2}</b>.,Grande! Il Suo prossimo ciclo di test sarà dal <b>{DATE1}</b> al <b>{DATE2}</b>.
language_prefer,Please select your <b>preferred language</b>.,Please select your <b>preferred language</b>.,Please select your <b>preferred language</b>.,Please select your <b>preferred language</b>.,Veuillez sélectionner la <b>langue de votre choix</b>.,Seleccione su <b>idioma preferido</b>. ,Seleccione su <b>idioma de preferencia</b>.,Seleccione su <b>idioma de preferencia</b>.,Seleccione su <b>idioma de preferencia</b>.,Seleccione su <b>idioma de preferencia</b>.,Seleccione su <b>idioma de preferencia</b>.,Bitte wählen Sie Ihre <b>bevorzugte Sprache</b>.,<b>優先言語</b>を選択してください。,<b>선호하는 언어</b>를 선택해 주세요.,Sélectionnez votre langue <b>préférée</b>.,Selecione seu <b>idioma preferido</b>.,Selecteer uw <b>voorkeurstaal</b>.,Selezioni la Sua <b>lingua preferita</b>.
gen_welcome_key,Welcome to the <b>ARC App</b>,Welcome to the <b>ARC App</b>,Welcome to the <b>ARC App</b>,Welcome to the <b>ARC App</b>,Bienvenue dans <b>l’application ARC</b>,Bienvenido/a a la <b>aplicación ARC</b>,Bienvenido a la <b>Aplicación ARC</b>,Bienvenido a la <b>Aplicación ARC</b>,Bienvenido a la <b>Aplicación ARC</b>,Bienvenido a la <b>Aplicación ARC</b>,Bienvenido a la <b>Aplicación ARC</b>,Willkommen bei der <b>ARC App</b>,<b>ARCアプリ</b>へようこそ,<b>ARC 앱</b> 사용을 환영합니다,Bienvenue dans l’application <b>ARC</b>,Bem-vindo(a) ao <b>aplicativo ARC</b>,Welkom bij de <b>ARC-app</b>,Benvenuto/a all’app <b>ARC</b>
